 19 20 21 22 23 24 25 26 27 10 11 12 13 14 15 16 17 18  1  2  3  4  5  6  7  8  9
 19 20 21 22 23 24 25 26 27 10 11 12 13 14 15 16 17 18  1  2  3  4  5  6  7  8  9
  7  8  9  4  5  6  1  2  3 16 17 18 13 14 15 10 11 12 25 26 27 22 23 24 19 20 21
  7  8  9  4  5  6  1  2  3 16 17 18 13 14 15 10 11 12 25 26 27 22 23 24 19 20 21
  3  2  1  6  5  4  9  8  7 12 11 10 15 14 13 18 17 16 21 20 19 24 23 22 27 26 25
  3  2  1  6  5  4  9  8  7 12 11 10 15 14 13 18 17 16 21 20 19 24 23 22 27 26 25
 16 17 18  7  8  9  4  5  6 25 26 27 13 14 15  1  2  3 22 23 24 19 20 21 10 11 12
 25 26 27 16 17 18  7  8  9 22 23 24 13 14 15  4  5  6 19 20 21 10 11 12  1  2  3
 22 23 24 25 26 27 16 17 18 19 20 21 13 14 15  7  8  9 10 11 12  1  2  3  4  5  6
 10 11 12 19 20 21 22 23 24  1  2  3 13 14 15 25 26 27  4  5  6  7  8  9 16 17 18
  1  2  3 10 11 12 19 20 21  4  5  6 13 14 15 22 23 24  7  8  9 16 17 18 25 26 27
  4  5  6  1  2  3 10 11 12  7  8  9 13 14 15 19 20 21 16 17 18 25 26 27 22 23 24
  4  7  8  1  5  9  2  3  6 13 16 17 10 14 18 11 12 15 22 25 26 19 23 27 20 21 24
  1  4  7  2  5  8  3  6  9 10 13 16 11 14 17 12 15 18 19 22 25 20 23 26 21 24 27
  2  1  4  3  5  7  6  9  8 11 10 13 12 14 16 15 18 17 20 19 22 21 23 25 24 27 26
  6  3  2  9  5  1  8  7  4 15 12 11 18 14 10 17 16 13 24 21 20 27 23 19 26 25 22
  9  6  3  8  5  2  7  4  1 18 15 12 17 14 11 16 13 10 27 24 21 26 23 20 25 22 19
  8  9  6  7  5  3  4  1  2 17 18 15 16 14 12 13 10 11 26 27 24 25 23 21 22 19 20
  4  5  6  1  2  3 10 11 12  7  8  9 13 14 15 19 20 21 16 17 18 25 26 27 22 23 24
  1  2  3 10 11 12 19 20 21  4  5  6 13 14 15 22 23 24  7  8  9 16 17 18 25 26 27
 10 11 12 19 20 21 22 23 24  1  2  3 13 14 15 25 26 27  4  5  6  7  8  9 16 17 18
 22 23 24 25 26 27 16 17 18 19 20 21 13 14 15  7  8  9 10 11 12  1  2  3  4  5  6
 25 26 27 16 17 18  7  8  9 22 23 24 13 14 15  4  5  6 19 20 21 10 11 12  1  2  3
 16 17 18  7  8  9  4  5  6 25 26 27 13 14 15  1  2  3 22 23 24 19 20 21 10 11 12
  8  9  6  7  5  3  4  1  2 17 18 15 16 14 12 13 10 11 26 27 24 25 23 21 22 19 20
  9  6  3  8  5  2  7  4  1 18 15 12 17 14 11 16 13 10 27 24 21 26 23 20 25 22 19
  6  3  2  9  5  1  8  7  4 15 12 11 18 14 10 17 16 13 24 21 20 27 23 19 26 25 22
  2  1  4  3  5  7  6  9  8 11 10 13 12 14 16 15 18 17 20 19 22 21 23 25 24 27 26
